EWT,Watts
19.375,1787.500
13.937,1785.300
12.500,1780.900
12.250,1780.900
12.312,1782.000
12.437,1782.000
12.437,1790.800
12.250,1786.400
12.187,1788.600
12.062,1793.000
12.562,1796.300
13.125,1794.100
12.750,1801.800
17.062,1767.700
13.125,1768.800
12.250,1775.400
12.187,1773.200
12.250,1778.700
12.375,1783.100
12.312,1786.400
12.187,1787.500
12.000,1790.800
12.000,1789.700
12.750,1793.000
16.625,1742.400
13.125,1775.400
12.062,1774.300
11.875,1771.000
11.937,1782.000
12.125,1787.500
12.062,1784.200
12.000,1788.600
11.875,1788.600
11.812,1797.400
12.125,1795.200
12.500,1791.900
15.875,1753.400
12.750,1778.700
11.875,1785.300
11.750,1789.700
11.812,1779.800
11.875,1791.900
11.937,1794.100
11.812,1795.200
11.750,1796.300
11.687,1797.400
11.937,1806.200
12.250,1805.100
16.125,1777.600
12.937,1807.300
11.937,1820.500
11.750,1806.200
11.812,1812.800
11.937,1820.500
12.000,1822.700
11.875,1823.800
11.750,1829.300
11.687,1830.400
11.937,1830.400
16.312,1779.800
12.937,1767.700
12.125,1771.000
12.062,1773.200
12.187,1783.100
12.250,1778.700
12.187,1791.900
12.062,1791.900
11.937,1789.700
11.937,1798.500
12.687,1791.900
12.875,1804.000
17.875,1772.100
13.312,1762.200
12.250,1758.900
12.125,1765.500
12.187,1772.100
12.312,1775.400
12.312,1772.100
12.187,1774.300
12.062,1782.000
11.937,1786.400
12.562,1789.700
17.187,1652.200
15.250,1761.100
12.562,1763.300
11.937,1772.100
11.875,1768.800
12.000,1774.300
12.125,1779.800
12.062,1783.100
11.937,1786.400
11.812,1791.900
11.812,1793.000
12.375,1794.100
12.437,1797.400
12.000,1802.900
15.812,1729.200
13.000,1774.300
11.937,1775.400
11.750,1777.600
11.812,1782.000
11.937,1795.200
11.937,1788.600
11.875,1796.300
11.812,1798.500
11.687,1798.500
11.937,1810.600
12.312,1807.300
12.000,1810.600
14.437,1728.100
13.000,1815.000
11.812,1805.100
11.562,1811.700
11.562,1810.600
11.687,1797.400
11.687,1801.800
11.625,1809.500
11.562,1820.500
11.500,1827.100
11.562,1818.300
11.937,1817.200
11.750,1824.900
11.375,1832.600
11.062,1832.600
10.875,1826.000
10.750,1822.700
10.687,1828.200
10.625,1839.200
10.562,1833.700
10.562,1829.300
10.500,1832.600
10.500,1835.900
10.500,1833.700
10.437,1829.300
10.375,1837.000
10.312,1845.800
13.125,1758.900
11.687,1826.000
11.062,1813.900
11.000,1812.800
11.125,1819.400
11.062,1823.800
11.000,1832.600
10.937,1838.100
11.125,1837.000
11.250,1830.400
15.937,1639.000
13.562,1817.200
11.750,1813.900
11.375,1821.600
11.375,1810.600
11.500,1810.600
11.562,1809.500
11.500,1818.300
11.437,1820.500
11.375,1819.400
19.437,1739.100
14.625,1766.600
12.500,1771.000
12.000,1761.100
12.062,1768.800
12.187,1765.500
12.250,1765.500
12.125,1766.600
11.937,1776.500
11.875,1780.900
12.062,1779.800
12.812,1779.800
12.625,1787.500
16.437,1351.900
14.750,1758.900
12.312,1767.700
11.812,1766.600
11.687,1766.600
11.812,1774.300
11.937,1773.200
11.875,1787.500
11.812,1788.600
11.687,1790.800
11.625,1793.000
12.125,1797.400
12.187,1794.100
11.750,1797.400
15.812,1548.800
13.625,1774.300
11.937,1779.800
11.562,1787.500
11.562,1780.900
11.687,1780.900
11.750,1779.800
11.750,1788.600
11.625,1791.900
11.562,1785.300
11.500,1790.800
11.937,1794.100
11.875,1806.200
11.500,1808.400
17.125,1597.200
14.125,1765.500
12.187,1775.400
11.750,1750.100
11.750,1742.400
11.875,1753.400
11.937,1753.400
11.875,1755.600
11.812,1761.100
11.687,1763.300
11.687,1761.100
12.250,1761.100
12.125,1767.700
11.687,1764.400
11.312,1769.900
11.062,1764.400
10.937,1773.200
10.875,1780.900
10.812,1772.100
10.750,1779.800
10.687,1787.500
10.625,1778.700
10.625,1782.000
10.625,1779.800
10.562,1789.700
10.500,1778.700
10.437,1786.400
10.312,1839.200
10.250,1835.900
10.187,1833.700
10.187,1830.400
10.125,1842.500
10.062,1839.200
10.000,1834.800
10.000,1834.800
10.000,1846.900
9.937,1840.300
9.875,1833.700
9.875,1848.000
9.812,1845.800
9.812,1839.200
9.750,1840.300
9.750,1854.600
9.687,1835.900
9.625,1840.300
19.625,1743.500
14.500,1765.500
12.437,1764.400
12.000,1765.500
12.062,1771.000
12.187,1766.600
12.187,1771.000
12.062,1776.500
11.937,1776.500
11.812,1782.000
12.125,1784.200
12.812,1780.900
16.812,1596.100
14.125,1769.900
12.187,1783.100
11.750,1786.400
11.687,1774.300
11.875,1778.700
11.937,1788.600
11.875,1789.700
11.812,1790.800
11.687,1790.800
11.750,1789.700
12.187,1789.700
12.187,1802.900
15.250,1687.400
13.312,1783.100
11.875,1791.900
11.562,1791.900
11.625,1784.200
11.750,1790.800
11.812,1787.500
11.750,1801.800
11.625,1804.000
11.500,1805.100
11.625,1804.000
12.062,1806.200
11.875,1809.500
16.187,1623.600
13.812,1777.600
11.937,1776.500
11.500,1774.300
11.500,1773.200
11.625,1785.300
11.687,1785.300
11.687,1785.300
11.562,1783.100
11.500,1787.500
16.375,1553.200
13.875,1794.100
12.000,1784.200
11.625,1783.100
11.562,1787.500
11.687,1794.100
11.812,1791.900
11.687,1787.500
11.625,1806.200
11.500,1801.800
11.500,1808.400
11.937,1801.800
11.875,1809.500
11.500,1804.000
11.125,1807.300
10.875,1812.800
10.750,1813.900
10.687,1820.500
10.625,1815.000
10.562,1821.600
10.500,1816.100
10.437,1822.700
10.437,1821.600
10.437,1822.700
10.437,1831.500
10.375,1822.700
10.250,1818.300
10.187,1828.200
10.062,1835.900
10.062,1831.500
17.625,1745.700
13.437,1777.600
12.125,1775.400
11.875,1776.500
11.937,1782.000
12.062,1793.000
12.125,1794.100
12.000,1789.700
11.875,1801.800
11.750,1799.600
12.000,1798.500
15.750,1723.700
13.250,1788.600
11.875,1787.500
11.625,1786.400
11.687,1795.200
11.875,1787.500
11.875,1791.900
11.812,1785.300
11.687,1787.500
11.562,1797.400
11.687,1796.300
16.562,1545.500
13.937,1776.500
12.000,1784.200
11.562,1787.500
11.562,1780.900
11.687,1785.300
11.750,1790.800
11.750,1796.300
11.625,1796.300
11.562,1811.700
11.562,1810.600
11.937,1815.000
15.000,1706.100
13.062,1827.100
11.687,1826.000
11.437,1831.500
11.500,1822.700
11.625,1821.600
11.687,1831.500
11.625,1838.100
11.500,1842.500
11.375,1833.700
11.437,1833.700
11.875,1837.000
11.687,1839.200
11.312,1855.700
10.937,1860.100
10.750,1843.600
10.625,1833.700
10.625,1837.000
10.562,1839.200
10.500,1849.100
10.437,1839.200
10.375,1838.100
10.375,1833.700
10.375,1854.600
10.312,1855.700
10.250,1846.900
10.187,1839.200
10.062,1845.800
10.062,1845.800
15.937,1740.200
12.812,1775.400
11.750,1767.700
11.625,1787.500
11.687,1775.400
11.875,1774.300
11.875,1787.500
11.812,1779.800
11.687,1773.200
11.562,1797.400
11.812,1780.900
12.250,1785.300
11.937,1804.000
11.437,1802.900
11.125,1811.700
10.937,1806.200
10.812,1786.400
10.750,1799.600
10.687,1808.400
10.687,1810.600
10.562,1805.100
10.562,1816.100
10.562,1815.000
10.562,1811.700
10.500,1810.600
10.375,1821.600
10.250,1820.500
10.187,1818.300
10.187,1828.200
10.062,1835.900
10.062,1837.000
10.000,1830.400
16.062,1776.500
12.750,1799.600
11.812,1807.300
11.687,1804.000
11.750,1817.200
11.937,1817.200
11.937,1815.000
11.812,1820.500
11.687,1826.000
11.625,1820.500
11.937,1830.400
12.312,1828.200
11.937,1827.100
11.437,1837.000
11.187,1846.900
10.937,1824.900
10.875,1829.300
10.812,1827.100
