"htg_pl_x","htg_pl_y","htg_fl_x","htg_fl_y","clg_pl_x","clg_pl_y","clg_fl_x","clg_fl_y"
"6.625","2417.19999999999","3.375","3274.51428570999","14.0625","1655.14285713999","15.5","2798.22857143"
"5.125","2512.45714286","4.5625","1369.37142857","11.25","1655.14285713999","15.375","2798.22857143"
"5.375","2321.94285713999","1.125","3274.51428570999","13.4375","1655.14285713999","14.5625","2702.97142857"
"5.1875","2512.45714286","8.8125","1750.4","14.0","1750.4","16.75","2750.59999999999"
"6.0","2512.45714286","3.5","3369.77142856999","11.625","1559.88571428999","15.5","2702.97142857"
"9.3125","2512.45714286","5.5625","1178.85714286","14.8125","1655.14285713999","13.8125","2702.97142857"
"7.0625","2321.94285713999","2.0","3274.51428570999","15.0625","1750.4","17.5625","2798.22857143"
"6.3125","2512.45714286","1.5625","3227.61846154","18.25","1845.65714286","15.0","2702.97142857"
"2.625","2512.45714286","5.375","3465.02857142999","18.125","1940.91428571","10.9375","2512.45714286"
"1.6875","2417.19999999999","1.5","3179.25714285999","12.8125","1589.07741934999","18.9375","2988.74285714"
"6.3125","2607.71428570999","2.875","3369.77142856999","14.1875","1750.4","17.0625","2893.48571429"
"3.875","2417.19999999999","2.8125","3560.28571429","14.125","1655.14285713999","12.125","2607.71428570999"
"7.25","2512.45714286","3.1875","3274.51428570999","14.875","1750.4","16.6875","2893.48571429"
"5.6875","2417.19999999999","3.0625","3369.77142856999","12.6875","1655.14285713999","14.6875","2798.22857143"
"7.3125","2607.71428570999","3.625","3274.51428570999","13.8125","1750.4","16.9375","2893.48571429"
"8.0625","2512.45714286","5.5625","893.085714289999","12.125","1559.88571428999","18.9375","2893.48571429"
"3.8125","2281.75624999999","5.75","3369.77142856999","13.3125","1655.14285713999","14.1875","2702.97142857"
"6.4375","2512.45714286","2.9375","2988.74285714","13.625","1750.4","12.25","2607.71428570999"
"4.5","2417.19999999999","4.625","3465.02857142999","15.0","1750.4","16.125","2798.22857143"
"7.4375","2500.55","4.3125","893.085714289999","10.375","1589.07741934999","13.0","2607.71428570999"
"3.9375","2417.19999999999","4.1875","3369.77142856999","14.3125","1750.4","18.0","2798.22857143"
"4.25","2417.19999999999","4.5","3369.77142856999","15.375","765.587692309999","18.6875","2893.48571429"
"5.75","2607.71428570999","6.75","512.057142856999","15.5","1750.4","12.1875","2702.97142857"
"2.75","2321.94285713999","7.8125","1750.4","13.625","1655.14285713999","13.25","2702.97142857"
"5.8125","2607.71428570999","8.5","3655.54285713999","18.6875","2036.17142856999","15.25","2798.22857143"
"4.5","2512.45714286","6.0625","797.82857143","15.5625","1879.45806451999","16.6875","2798.22857143"
"2.8125","2417.19999999999","4.625","3369.77142856999","13.625","797.82857143","16.3125","2798.22857143"
"6.125","2512.45714286","3.0","3274.51428570999","13.4375","1655.14285713999","16.0625","2798.22857143"
"4.1875","2512.45714286","5.875","3465.02857142999","15.5","1083.59999999999","15.6875","2798.22857143"
"4.1875","2417.19999999999","5.25","2036.17142856999","15.125","1750.4","15.5","2798.22857143"
"3.375","2417.19999999999","9.625","3846.05714285999","13.9375","1655.14285713999","15.0625","2702.97142857"
"3.5625","2417.19999999999","4.25","2131.42857142999","14.6875","1750.4","13.5625","2702.97142857"
"5.9375","2512.45714286","3.6875","2131.42857142999","14.9375","1750.4","13.25","2702.97142857"
