EWT,Watts
8.327,2400.000
8.640,2550.000
8.640,1500.000
8.265,2032.258
8.577,3048.387
8.890,2400.000
9.265,2550.000
9.452,2322.581
9.390,2550.000
9.390,2550.000
9.390,2322.581
9.390,2467.742
9.702,2550.000
9.390,2400.000
9.452,2550.000
9.265,2467.742
9.327,2550.000
8.827,2322.581
8.390,2550.000
8.390,1887.097
8.640,2550.000
8.515,2550.000
8.452,2467.742
8.577,2285.714
9.140,2508.197
9.202,2400.000
9.327,2467.742
9.265,2550.000
9.327,2467.742
9.265,2400.000
9.265,2700.000
9.327,2400.000
8.702,2550.000
8.452,2467.742
9.140,2322.581
9.202,2550.000
8.265,2550.000
8.390,2550.000
8.327,2467.742
8.390,2550.000
8.827,2322.581
8.952,2550.000
8.390,2400.000
8.827,2322.581
8.952,2550.000
9.077,1161.290
8.640,2322.581
8.890,1350.000
8.515,2400.000
9.015,2400.000
8.952,2467.742
9.077,900.000
8.765,1596.774
8.640,2467.742
9.015,2550.000
9.077,2322.581
9.140,2550.000
9.140,2400.000
9.015,2612.903
9.140,2467.742
9.077,2467.742
8.952,2550.000
8.890,2322.581
8.827,2612.903
8.452,2467.742
8.202,2700.000
8.140,2467.742
8.265,2400.000
8.327,1596.774
8.577,2550.000
8.327,2400.000
9.265,2322.581
9.077,2322.581
9.265,2400.000
9.327,2550.000
9.327,2322.581
8.515,2400.000
9.327,2550.000
9.327,2322.581
8.890,2550.000
9.327,2322.581
8.515,2550.000
8.390,2322.581
9.327,2550.000
9.140,2550.000
8.327,2400.000
8.327,1306.452
9.327,3600.000
8.702,2550.000
9.390,3750.000
9.390,3483.871
9.390,3338.710
9.390,3338.710
9.390,3600.000
8.640,3600.000
9.202,3750.000
8.015,3750.000
8.077,3483.871
7.952,3750.000
8.265,3483.871
8.140,3750.000
8.015,3483.871
7.890,3483.871
7.327,3483.871
7.140,3900.000
7.702,3750.000
7.390,3900.000
7.515,3483.871
7.265,3750.000
7.202,3483.871
6.952,3900.000
6.765,3750.000
7.077,3483.871
6.702,3629.032
7.015,3600.000
6.827,3483.871
6.640,3750.000
6.640,3629.032
6.577,3774.194
6.515,3600.000
6.452,3900.000
6.390,3750.000
6.327,3629.032
6.265,3900.000
6.452,3629.032
6.265,3629.032
6.140,3774.194
6.077,3900.000
6.077,3483.871
6.015,3900.000
6.202,3629.032
6.140,3774.194
6.015,3629.032
6.015,1650.000
8.327,2400.000
8.952,2467.742
9.202,2550.000
9.265,2467.742
9.327,2571.429
9.327,2700.000
9.327,2508.197
9.327,2550.000
9.140,2550.000
9.390,2467.742
9.077,2700.000
9.327,2467.742
8.640,2467.742
8.452,2550.000
9.077,2032.258
8.827,2550.000
9.327,2550.000
9.202,2550.000
9.327,2467.742
9.390,2550.000
9.327,2550.000
9.390,2467.742
9.327,2700.000
9.327,2550.000
9.202,2612.903
8.827,2700.000
8.577,2467.742
9.390,2550.000
8.452,2550.000
8.390,2700.000
8.390,1161.290
8.952,2100.000
8.765,2550.000
9.202,2550.000
9.265,2467.742
9.265,2550.000
9.327,2550.000
9.390,2550.000
9.327,2700.000
9.327,2467.742
9.202,2467.742
8.515,2700.000
9.327,2700.000
9.327,2550.000
8.452,900.000
