EWT,Watts
11.930,669.120
11.743,664.320
11.555,670.080
12.243,699.840
12.118,704.640
11.555,686.400
11.555,679.680
12.680,705.600
10.743,685.440
10.368,686.400
10.555,689.280
11.118,688.320
10.180,677.760
10.118,690.240
10.055,696.960
10.180,697.920
9.930,703.680
9.430,711.360
9.680,702.720
9.305,699.840
9.805,703.680
9.493,704.640
9.243,714.240
9.243,706.560
9.180,713.280
9.118,711.360
9.180,718.080
9.055,698.880
8.868,717.120
8.993,710.400
8.930,702.720
8.805,708.480
8.743,710.400
8.555,708.480
8.680,716.160
8.618,701.760
8.555,700.800
8.493,702.720
8.430,700.800
8.430,705.600
8.430,698.880
8.305,696.000
8.305,702.720
8.243,705.600
8.180,707.520
8.118,528.960
8.243,706.560
8.118,707.520
8.055,504.960
11.305,510.720
9.180,675.840
9.680,687.360
9.430,675.840
9.368,676.800
9.305,676.800
9.618,669.120
9.555,672.960
9.493,673.920
8.930,684.480
9.118,677.760
8.993,691.200
8.868,683.520
8.743,682.560
8.680,516.480
11.493,651.840
11.493,658.560
11.430,658.560
11.368,663.360
11.243,665.280
11.680,679.680
10.993,678.720
11.368,673.920
11.868,678.720
10.243,677.760
10.493,676.800
10.055,683.520
9.930,680.640
9.868,681.600
9.743,681.600
9.680,683.520
9.618,685.440
9.680,685.440
9.680,685.440
9.430,687.360
9.180,684.480
9.305,685.440
9.118,679.680
8.930,679.680
8.868,679.680
9.055,681.600
8.868,681.600
8.805,683.520
8.805,683.520
8.368,678.720
8.555,688.320
8.680,683.520
8.618,682.560
8.493,685.440
8.430,680.640
8.743,681.600
8.180,678.720
8.180,684.480
8.305,679.680
8.305,679.680
8.305,675.840
8.180,686.400
8.118,685.440
7.993,686.400
7.993,688.320
7.930,687.360
7.930,690.240
7.993,687.360
7.868,688.320
7.805,689.280
7.680,693.120
7.805,689.280
7.743,689.280
7.680,694.080
7.743,688.320
7.680,690.240
7.618,696.000
7.555,696.960
7.555,695.040
7.555,694.080
7.493,693.120
7.493,695.040
7.368,696.000
7.430,696.960
7.305,697.920
7.368,696.000
7.243,697.920
7.305,696.960
7.305,697.920
7.430,696.000
7.180,525.120
7.243,697.920
9.930,677.760
9.930,663.360
9.993,678.720
9.993,678.720
9.993,676.800
9.868,689.280
9.680,688.320
9.305,686.400
9.055,688.320
8.868,689.280
8.680,693.120
8.743,692.160
8.555,693.120
8.680,693.120
8.430,697.920
8.368,696.000
8.555,695.040
8.493,696.960
8.305,698.880
8.180,695.040
7.805,705.600
8.118,698.880
8.055,696.960
7.930,696.000
7.868,711.360
7.868,705.600
7.805,704.640
7.555,513.600
7.680,701.760
7.743,704.640
7.680,704.640
7.618,699.840
7.493,501.120
8.430,660.480
8.368,665.280
8.368,672.000
8.055,669.120
8.305,669.120
8.180,668.160
8.305,667.200
8.243,669.120
7.805,672.000
7.618,660.480
7.743,675.840
7.555,504.960
7.993,515.520
11.493,3326.400
9.743,511.680
8.743,533.760
8.430,505.920
11.368,3398.400
10.743,507.840
10.180,515.520
9.743,661.440
9.743,640.320
9.555,678.720
9.680,674.880
9.743,672.000
9.618,675.840
9.493,678.720
9.368,678.720
9.118,680.640
8.868,505.920
9.493,500.160
9.930,674.880
9.930,658.560
9.930,666.240
9.930,675.840
9.430,504.960
9.180,540.480
9.118,521.280
8.930,503.040
8.493,504.960
8.680,506.880
8.368,518.400
8.055,526.080
7.868,528.960
12.993,3639.360
10.180,1248.000
8.305,501.120
8.243,503.040
8.243,500.160
7.868,500.160
8.368,519.360
7.680,504.000
7.368,525.120
7.430,543.360
7.430,510.720
7.555,533.760
7.368,597.120
7.368,681.600
7.368,683.520
7.305,677.760
7.305,678.720
7.180,669.120
7.243,672.960
7.243,673.920
7.118,671.040
7.243,690.240
7.118,683.520
7.180,685.440
7.055,690.240
6.930,696.960
7.180,674.880
7.055,686.400
6.805,697.920
6.868,697.920
6.743,696.960
6.680,696.960
6.555,696.960
6.493,696.000
6.618,697.920
6.430,696.000
6.430,695.040
6.368,696.000
6.305,697.920
6.180,698.880
6.243,697.920
6.305,698.880
6.118,532.800
6.243,698.880
6.180,696.000
6.055,502.080
6.118,697.920
6.680,543.360
7.118,504.960
6.805,500.160
10.180,739.200
9.680,736.320
10.243,724.800
9.993,728.640
9.055,738.240
9.430,736.320
9.243,739.200
8.805,744.960
9.118,739.200
8.930,740.160
8.868,742.080
8.680,748.800
8.243,753.600
8.118,749.760
7.930,750.720
7.805,746.880
8.180,749.760
8.055,750.720
7.430,751.680
7.993,751.680
7.868,744.960
7.805,748.800
7.743,747.840
7.680,746.880
7.555,747.840
7.555,746.880
7.618,748.800
7.493,746.880
7.430,747.840
7.368,749.760
7.243,746.880
7.305,746.880
7.305,748.800
7.180,746.880
7.180,746.880
7.118,749.760
7.118,746.880
7.055,749.760
6.993,754.560
7.180,746.880
6.930,572.160
6.868,522.240
7.055,748.800
6.993,755.520
6.868,540.480
6.868,524.160
6.868,530.880
6.930,528.000
6.993,527.040
6.930,523.200
6.993,527.040
7.055,526.080
6.993,524.160
7.055,525.120
7.055,526.080
7.118,525.120
7.180,527.040
7.118,525.120
7.180,525.120
7.305,523.200
7.305,525.120
7.243,527.040
7.243,526.080
7.243,525.120
7.243,526.080
7.993,514.560
7.930,513.600
7.993,512.640
9.055,500.160
9.680,523.200
9.555,501.120
9.368,702.720
9.368,718.080
9.430,628.800
9.180,715.200
9.055,722.880
9.368,719.040
8.868,730.560
8.368,726.720
8.930,726.720
8.743,730.560
8.243,732.480
8.680,731.520
8.180,733.440
8.118,732.480
8.555,728.640
7.993,732.480
7.930,733.440
7.868,736.320
7.805,735.360
7.805,736.320
7.680,738.240
7.743,738.240
7.555,738.240
7.618,739.200
7.493,736.320
7.305,558.720
7.430,729.600
7.368,743.040
7.243,518.400
7.243,513.600
7.243,529.920
7.243,516.480
7.243,520.320
7.243,513.600
7.243,506.880
7.243,505.920
7.305,502.080
7.243,504.000
7.305,503.040
8.680,500.160
8.680,502.080
8.618,500.160
8.618,502.080
8.618,501.120
8.618,506.880
8.555,505.920
8.493,511.680
8.618,504.000
8.555,506.880
8.430,505.920
8.180,509.760
8.055,510.720
8.305,509.760
8.118,511.680
8.055,508.800
7.993,511.680
8.680,507.840
8.555,502.080
8.430,506.880
8.430,502.080
8.430,504.000
8.430,504.000
8.430,507.840
8.368,507.840
8.368,504.000
8.368,505.920
8.930,517.440
8.493,503.040
8.430,504.000
8.430,501.120
8.430,505.920
8.368,506.880
8.430,504.960
8.305,511.680
8.368,506.880
8.368,508.800
8.305,510.720
9.493,502.080
8.743,502.080
8.743,504.000
8.743,501.120
8.743,501.120
8.680,508.800
8.743,508.800
8.680,508.800
8.680,510.720
8.555,509.760
8.243,511.680
8.618,515.520
8.618,511.680
8.368,513.600
8.743,500.160
8.805,503.040
8.743,500.160
8.743,505.920
8.743,506.880
8.743,511.680
8.680,510.720
8.743,510.720
8.743,511.680
8.993,502.080
8.993,502.080
8.993,504.000
8.993,500.160
8.993,507.840
8.930,510.720
8.868,510.720
8.868,513.600
8.930,510.720
8.868,512.640
8.680,514.560
8.805,513.600
8.555,515.520
8.305,515.520
8.180,518.400
8.368,513.600
8.243,514.560
8.430,516.480
8.180,514.560
8.118,519.360
8.118,519.360
10.243,502.080
9.118,501.120
9.118,500.160
9.180,504.000
9.180,501.120
9.118,504.960
9.055,507.840
9.055,508.800
8.930,509.760
8.993,513.600
9.055,510.720
8.993,508.800
8.430,514.560
8.493,516.480
8.368,514.560
8.743,514.560
8.618,512.640
8.305,516.480
8.243,514.560
8.243,518.400
8.430,540.480
8.368,531.840
8.618,525.120
8.555,528.960
8.430,501.120
8.493,504.960
8.493,507.840
8.993,502.080
8.930,502.080
8.868,510.720
8.930,508.800
8.930,504.960
8.805,510.720
8.868,505.920
8.868,509.760
8.430,513.600
8.680,514.560
8.805,512.640
8.555,511.680
9.555,501.120
8.930,501.120
8.930,502.080
8.930,504.960
8.930,504.000
8.868,504.960
8.868,506.880
8.930,503.040
8.805,508.800
8.805,509.760
8.868,508.800
8.743,511.680
8.680,512.640
8.555,508.800
8.368,511.680
8.430,517.440
8.743,518.400
8.618,519.360
8.493,501.120
8.493,504.000
8.493,504.960
8.430,510.720
8.430,507.840
8.930,504.960
8.993,500.160
8.993,505.920
8.930,500.160
8.993,504.960
8.930,507.840
8.805,511.680
8.930,508.800
8.868,507.840
8.868,514.560
8.805,516.480
8.805,513.600
8.555,515.520
8.430,513.600
8.680,511.680
9.368,503.040
8.805,507.840
8.805,506.880
8.805,506.880
8.805,505.920
8.805,502.080
8.805,509.760
8.743,511.680
8.743,510.720
8.680,514.560
8.805,507.840
8.555,517.440
8.680,515.520
8.743,500.160
8.743,509.760
8.743,505.920
8.743,507.840
8.743,510.720
8.743,506.880
8.680,512.640
8.618,516.480
8.680,514.560
8.680,515.520
8.618,518.400
8.805,528.960
8.680,524.160
8.493,530.880
8.868,517.440
8.680,502.080
8.618,504.960
8.555,504.000
8.618,509.760
