EWT,Watts
6.013,5133.700
6.013,5126.000
5.888,5152.400
5.888,5151.300
6.451,5179.900
6.263,5184.300
5.888,5250.300
6.763,5304.200
9.513,5009.400
7.263,5318.500
6.326,5329.500
6.763,6072.000
6.326,6076.400
6.201,6075.300
5.951,6094.000
5.951,6105.000
5.638,5212.900
5.638,5230.500
6.826,5938.900
5.763,5952.100
5.638,5955.400
5.138,5831.100
5.076,5859.700
5.263,5006.100
5.201,5007.200
5.201,5056.700
5.263,4992.900
5.263,5041.300
5.263,5007.200
5.263,5003.900
5.263,4940.100
5.263,5000.600
5.263,5062.200
5.263,5140.300
5.263,5104.000
5.263,5111.700
5.263,5122.700
9.388,4860.900
6.138,5190.900
5.951,5154.600
5.701,5178.800
5.576,5164.500
5.513,5204.100
5.576,5217.300
5.513,5231.600
5.388,5171.100
5.388,5144.700
5.326,5203.000
5.263,5172.200
5.263,5178.800
5.263,5208.500
5.263,5219.500
5.263,6013.700
5.013,5197.500
5.201,6025.800
5.138,6017.000
4.638,5991.700
4.513,5970.800
4.576,5936.700
4.576,5945.500
4.388,5946.600
4.388,5982.900
4.326,5968.600
4.326,6002.700
4.576,5993.900
4.326,5999.400
4.326,6022.500
6.201,5061.100
5.326,5156.800
5.388,5177.700
5.263,5086.400
4.826,5967.500
4.826,5989.500
4.638,5976.300
4.638,5990.600
4.576,5989.500
5.576,5181.000
5.638,5124.900
4.763,5790.400
4.701,5878.400
4.576,5866.300
4.388,5919.100
4.451,5916.900
4.388,5861.900
4.326,5845.400
4.701,5028.100
4.763,4978.600
4.763,4983.000
4.763,4953.300
4.826,5866.300
4.576,5045.700
4.638,5043.500
4.701,5001.700
4.763,4981.900
4.763,5028.100
4.826,5881.700
4.513,5008.300
6.076,5000.600
5.138,5094.100
5.138,5097.400
5.076,5187.600
5.763,5172.200
5.388,5159.000
5.263,5220.600
5.263,5220.600
5.201,5223.900
5.138,5207.400
5.076,5214.000
5.013,5144.700
5.013,5134.800
5.013,5142.500
5.013,5137.000
5.013,6072.000
4.763,6050.000
4.638,6046.700
4.638,6053.300
4.513,5221.700
5.638,5259.100
5.201,5261.300
5.013,5219.500
5.013,5217.300
5.013,5245.900
5.013,5245.900
5.013,5233.800
5.013,5241.500
4.951,5249.200
4.951,5234.900
4.951,5236.000
4.951,5226.100
4.701,5223.900
5.326,5129.300
4.951,5023.700
4.951,5089.700
5.201,5106.200
5.138,5030.300
4.888,5149.100
4.826,5095.200
4.826,5016.000
