EWT,Watts
6.687,1874.400
6.687,1897.500
6.812,1887.600
6.875,1866.700
7.000,1866.700
7.062,1872.200
7.062,1866.700
7.125,2401.300
7.125,2392.500
7.000,2395.800
7.000,2401.300
7.125,2405.700
7.000,2405.700
6.812,2407.900
6.687,2405.700
6.625,2403.500
6.562,2377.100
6.562,2379.300
6.562,2371.600
6.500,2378.200
6.375,2390.300
6.312,2394.700
6.250,2406.800
6.187,2417.800
6.187,2410.100
6.125,2400.200
6.062,2493.700
6.000,2481.600
6.000,2480.500
6.000,2497.000
5.937,2506.900
5.875,2514.600
5.875,2530.000
5.812,2532.200
5.812,2533.300
5.750,2514.600
5.750,2497.000
5.687,2490.400
5.687,2494.800
5.687,2500.300
5.625,2513.500
5.625,2524.500
5.562,2538.800
5.562,2536.600
5.562,2528.900
5.562,2506.900
5.500,2491.500
5.500,2490.400
5.500,2501.400
5.500,2508.000
5.437,2519.000
5.437,2525.600
5.437,2522.300
5.375,2500.300
5.375,2488.200
5.375,2475.000
5.312,2478.300
5.375,2482.700
5.312,2503.600
5.312,2513.500
5.312,2520.100
5.250,2515.700
5.250,2493.700
5.250,2476.100
5.250,2473.900
5.250,2488.200
5.187,2502.500
5.187,2520.100
5.187,2528.900
5.187,2513.500
5.187,2493.700
5.187,2480.500
5.125,2486.000
5.125,2494.800
5.937,1986.600
6.000,1988.800
6.062,2002.000
6.125,2007.500
6.187,1958.000
6.187,1964.600
6.187,2409.000
6.187,2470.600
6.187,2486.000
6.187,2498.100
7.375,1964.600
7.375,1941.500
7.437,1948.100
7.562,1959.100
7.687,1944.800
7.812,1948.100
7.750,1953.600
7.750,2483.800
7.687,2488.200
7.625,2491.500
7.687,2492.600
7.687,2495.900
7.750,1969.000
7.687,1952.500
7.750,1951.400
7.812,1963.500
7.937,1954.700
8.062,1951.400
8.000,1956.900
7.937,2499.200
7.875,2486.000
7.875,2494.800
7.875,2499.200
8.000,1657.700
7.937,1618.100
8.000,1615.900
8.000,1629.100
8.187,1618.100
8.250,1622.500
8.250,1619.200
8.187,2145.000
8.062,2160.400
8.062,2168.100
8.062,2174.700
8.125,2174.700
7.875,2175.800
7.625,2171.400
7.562,2173.600
7.437,2173.600
7.375,2182.400
7.375,2192.300
7.250,2301.200
7.187,2300.100
7.062,2304.500
6.937,2307.800
6.875,2318.800
6.875,2314.400
6.812,2319.900
6.687,2302.300
6.687,2285.800
6.625,2284.700
6.562,2280.300
6.562,2267.100
6.500,2267.100
6.437,2263.800
6.437,2271.500
6.375,2281.400
6.312,2289.100
6.312,2297.900
6.187,2306.700
6.187,2300.100
6.187,2279.200
6.125,2261.600
6.062,2252.800
6.062,2252.800
6.000,2257.200
6.000,2264.900
6.000,2274.800
5.937,2290.200
5.937,2305.600
5.875,2308.900
5.875,2296.800
5.812,2280.300
5.812,2260.500
5.812,2257.200
5.750,2258.300
5.750,2266.000
5.750,2279.200
5.687,2290.200
5.687,2307.800
5.625,2311.100
7.062,1714.900
7.125,1724.800
7.250,1712.700
7.375,1734.700
7.437,1747.900
7.500,1719.300
7.500,1719.300
7.562,2241.800
7.500,2247.300
7.375,2264.900
7.500,2268.200
7.875,1724.800
7.812,1725.900
7.875,1717.100
7.937,1717.100
8.062,1716.000
8.187,1712.700
8.125,1714.900
8.125,2261.600
8.062,2256.100
8.000,2251.700
8.500,1731.400
8.125,1727.000
8.187,1727.000
8.250,1724.800
8.312,1714.900
8.500,1708.300
8.500,1719.300
8.437,2262.700
8.375,2255.000
8.312,2262.700
8.250,2274.800
8.437,1738.000
8.250,1713.800
8.312,1707.200
8.375,1719.300
8.500,1718.200
8.625,1707.200
8.562,1717.100
8.562,2279.200
8.500,2268.200
8.375,2271.500
8.375,2272.600
8.750,1768.800
8.312,1767.700
8.250,1745.700
8.312,1699.500
8.375,1618.100
8.500,1623.600
8.562,1621.400
8.500,2102.100
8.437,2143.900
8.375,2162.600
8.250,2165.900
8.437,2169.200
8.312,2173.600
8.000,2182.400
7.812,2180.200
7.750,2175.800
7.687,2178.000
7.625,2178.000
7.625,2201.100
7.500,2272.600
7.312,2269.300
7.250,2268.200
7.187,2284.700
7.125,2288.000
7.062,2297.900
7.000,2306.700
6.937,2310.000
6.875,2321.000
6.812,2329.800
6.750,2339.700
6.750,2340.800
6.687,2322.100
6.625,2311.100
6.562,2293.500
6.562,2291.300
6.500,2283.600
6.437,2294.600
6.437,2295.700
6.375,2304.500
6.375,2314.400
6.375,2325.400
6.312,2343.000
6.250,2347.400
6.250,2322.100
6.187,2296.800
6.125,2283.600
6.125,2273.700
6.062,2277.000
6.062,2281.400
6.062,2286.900
6.000,2295.700
6.000,2311.100
5.937,2322.100
5.937,2321.000
5.937,2301.200
5.875,2283.600
5.875,2273.700
5.875,2275.900
7.062,1733.600
7.125,1725.900
7.250,1719.300
7.250,1740.200
7.375,1767.700
7.437,1724.800
7.437,1723.700
7.437,2256.100
7.375,2273.700
7.312,2271.500
8.312,1745.700
7.875,1758.900
7.875,1752.300
7.937,1728.100
8.062,1706.100
8.250,1711.600
8.250,1718.200
8.187,2196.700
8.187,2236.300
8.062,2246.200
8.000,2250.600
8.187,2250.600
8.062,2258.300
9.500,1736.900
8.687,1742.400
8.687,1714.900
9.187,1719.300
9.187,1722.600
9.125,2268.200
9.062,2267.100
9.000,2270.400
9.000,1700.600
9.062,1689.600
9.187,1694.000
9.375,1699.500
9.312,2246.200
9.187,2258.300
9.625,1723.700
9.062,1736.900
9.000,1710.500
9.062,1696.200
9.250,1690.700
9.437,1692.900
9.437,1701.700
9.375,2249.500
9.312,2238.500
9.125,1700.600
9.000,1700.600
9.062,1709.400
9.062,1711.600
9.062,1703.900
9.000,2241.800
8.875,2252.800
8.812,2252.800
9.187,1724.800
8.750,1699.500
8.687,1690.700
8.687,1697.300
10.312,1686.300
9.812,1678.600
9.750,1669.800
9.875,1677.500
10.125,1677.500
10.250,1681.900
10.250,1679.700
10.062,2219.800
10.000,2236.300
10.875,1699.500
9.812,1688.500
9.687,1677.500
9.750,1676.400
9.875,1674.200
10.125,1677.500
10.187,1677.500
10.125,2171.400
10.000,2227.500
9.937,2241.800
9.875,2241.800
10.062,2239.600
9.812,2248.400
9.437,2251.700
9.187,2245.100
9.187,1716.000
9.125,1707.200
9.125,1681.900
9.125,1676.400
9.187,1672.000
9.187,1662.100
9.125,1662.100
9.062,2165.900
9.000,2179.100
8.875,2184.600
8.937,2171.400
8.937,2182.400
8.750,2181.300
8.562,2179.100
8.437,2179.100
8.375,2185.700
8.312,2182.400
8.312,2183.500
8.187,2184.600
8.062,2189.000
7.937,2179.100
7.812,2184.600
7.812,2179.100
7.750,2181.300
7.687,2183.500
7.625,2189.000
7.562,2185.700
7.500,2184.600
7.437,2185.700
7.375,2181.300
7.375,2187.900
7.312,2186.800
7.250,2193.400
7.187,2183.500
7.125,2183.500
7.125,2192.300
7.062,2187.900
7.000,2193.400
7.000,2203.300
7.000,2193.400
6.937,2196.700
6.875,2194.500
6.875,2190.100
6.812,2194.500
6.812,2196.700
6.750,2194.500
6.750,2205.500
6.687,2203.300
6.625,2206.600
6.625,2209.900
6.625,2212.100
6.625,2206.600
6.625,2209.900
6.562,2206.600
6.500,2209.900
6.437,2213.200
10.875,1657.700
9.937,1679.700
9.812,1668.700
9.937,1655.500
10.125,1672.000
10.312,1672.000
10.375,1675.300
10.250,2213.200
10.187,2211.000
10.062,2218.700
11.187,1631.300
9.937,1676.400
9.687,1664.300
9.750,1673.100
9.937,1668.700
10.062,1674.200
10.187,1674.200
10.125,1677.500
10.062,1680.800
10.500,1665.400
9.812,1667.600
10.000,1673.100
10.187,1678.600
10.125,1686.300
10.062,1680.800
10.000,1678.600
10.062,1677.500
9.687,1674.200
10.000,1668.700
10.125,1659.900
10.062,1665.400
10.000,1676.400
9.875,1668.700
9.812,1668.700
9.937,1670.900
9.812,1673.100
9.687,1592.800
9.312,1604.900
9.187,1587.300
9.187,1603.800
9.125,1600.500
9.187,1601.600
9.187,1592.800
9.125,1600.500
9.125,1607.100
9.062,1608.200
9.000,1608.200
9.062,1599.400
9.000,1610.400
8.750,2066.900
8.625,2116.400
8.500,2131.800
8.437,2132.900
8.437,2132.900
8.375,2140.600
8.312,2140.600
8.312,2139.500
8.312,2141.700
8.250,2146.100
8.187,2146.100
8.187,2149.400
8.062,2154.900
7.937,2152.700
7.750,2152.700
7.687,2152.700
7.625,2156.000
7.625,2156.000
7.562,2160.400
7.500,2163.700
7.437,2164.800
7.437,2172.500
7.375,2174.700
7.375,2178.000
7.312,2178.000
7.250,2179.100
7.250,2176.900
7.187,2293.500
7.125,2292.400
7.062,2288.000
7.000,2284.700
7.000,2283.600
6.937,2284.700
6.937,2279.200
6.875,2279.200
6.875,2281.400
6.875,2285.800
6.812,2284.700
6.812,2289.100
6.750,2291.300
9.062,1727.000
8.875,1713.800
8.875,1720.400
9.000,1706.100
9.187,1709.400
9.312,1707.200
9.250,1712.700
9.250,1711.600
9.187,1713.800
9.125,1711.600
9.187,1713.800
9.125,1716.000
9.500,1702.800
9.187,1688.500
9.187,1694.000
9.312,1690.700
9.562,1686.300
9.500,1685.200
9.437,1689.600
9.375,1690.700
9.500,1691.800
9.250,1691.800
8.937,2259.400
8.687,2244.000
8.625,2252.800
8.562,2257.200
8.812,1692.900
8.937,1687.400
9.062,1691.800
9.062,1688.500
9.000,1687.400
8.875,1689.600
8.812,1688.500
8.750,1697.300
9.250,1702.800
9.000,1697.300
9.312,1687.400
9.375,1687.400
9.375,1689.600
9.312,1699.500
9.250,1699.500
9.125,1695.100
9.250,1699.500
9.187,1700.600
8.875,1712.700
8.625,2229.700
9.125,1681.900
9.500,1687.400
9.500,1685.200
9.437,1687.400
9.437,1686.300
9.312,1681.900
9.250,1690.700
9.375,1692.900
8.625,2239.600
8.500,2240.700
8.375,2234.100
8.375,2226.400
8.312,2225.300
8.250,2229.700
8.250,2229.700
7.937,2214.300
7.812,2211.000
7.687,2215.400
7.500,2219.800
7.437,2216.500
7.375,2224.200
7.312,2217.600
7.187,2216.500
7.125,2227.500
7.125,2227.500
7.000,2242.900
7.000,2260.500
6.937,2259.400
6.875,2267.100
6.875,2267.100
6.812,2259.400
6.812,2240.700
6.750,2231.900
6.750,2222.000
6.687,2216.500
8.750,1677.500
8.875,1669.800
9.000,1637.900
9.187,1621.400
9.187,1614.800
9.187,1613.700
9.125,1619.200
9.000,1620.300
9.000,1624.700
9.125,1612.600
8.875,1611.500
8.562,2150.500
8.375,2154.900
8.250,2149.400
8.250,2149.400
8.187,2153.800
8.187,2160.400
8.125,2163.700
8.125,2164.800
8.062,2168.100
8.062,2165.900
8.000,2163.700
8.000,2165.900
7.875,2366.100
7.687,2350.700
7.500,2348.500
7.437,2338.600
7.375,2315.500
7.312,2314.400
7.312,2296.800
9.437,1688.500
8.875,1666.500
8.812,1664.300
8.875,1647.800
9.062,1651.100
9.187,1654.400
9.250,1654.400
9.250,1658.800
9.187,1655.500
9.062,1663.200
9.000,1666.500
9.187,1664.300
9.000,1659.900
8.687,2147.200
12.312,2127.400
9.312,1676.400
8.937,1677.500
8.937,1668.700
9.062,1667.600
9.187,1659.900
9.375,1657.700
9.375,1662.100
9.312,1659.900
9.250,1661.000
9.187,1656.600
9.125,1673.100
9.187,1669.800
8.937,1651.100
8.625,2182.400
8.500,2168.100
8.375,2168.100
8.312,2160.400
8.312,2158.200
8.250,2167.000
8.250,2167.000
8.187,2173.600
8.187,2189.000
8.125,2355.100
8.125,2341.900
8.062,2343.000
7.875,2351.800
7.750,2344.100
7.625,2345.200
7.562,2348.500
7.500,2344.100
7.437,2156.000
7.375,2141.700
7.375,2142.800
7.312,2211.000
7.312,2209.900
7.250,2223.100
7.187,2226.400
7.125,2231.900
7.125,2237.400
7.000,2247.300
7.000,2261.600
6.937,2260.500
6.875,2270.400
6.875,2267.100
