EWT,Watts
20.595,525.000
21.782,675.000
20.845,600.000
21.407,600.000
20.470,525.000
24.282,600.000
22.032,675.000
20.907,675.000
21.782,900.000
21.845,525.000
23.970,825.000
23.095,975.000
22.782,900.000
21.782,825.000
22.595,825.000
21.345,600.000
21.720,1125.000
24.470,750.000
23.907,525.000
22.595,675.000
22.282,1125.000
24.970,600.000
22.782,675.000
24.657,525.000
24.470,900.000
23.220,900.000
24.657,825.000
24.532,525.000
24.095,825.000
23.532,975.000
24.032,675.000
22.595,675.000
22.345,600.000
22.345,600.000
22.720,525.000
22.845,750.000
22.282,900.000
22.970,750.000
22.407,525.000
21.220,525.000
21.845,975.000
22.095,525.000
22.345,1125.000
22.657,825.000
22.095,525.000
22.095,900.000
23.220,825.000
21.657,525.000
23.157,600.000
21.845,900.000
16.657,3225.000
14.595,3300.000
13.720,3375.000
13.345,3450.000
13.157,3525.000
13.282,3600.000
13.970,3675.000
13.407,3675.000
12.845,3675.000
12.470,3675.000
12.220,3750.000
12.157,3675.000
12.157,3750.000
12.220,3750.000
12.095,3614.754
11.907,3774.194
11.782,3750.000
11.657,3750.000
11.470,3718.421
11.407,3750.000
11.282,3750.000
11.220,3750.000
11.157,3825.000
11.095,3750.000
11.032,3750.000
10.970,3750.000
10.970,3750.000
10.907,3450.000
13.845,3675.000
12.907,3675.000
12.595,3750.000
12.407,3750.000
12.345,3825.000
12.595,3750.000
12.657,3750.000
12.282,3825.000
11.907,3750.000
11.720,3750.000
11.595,3825.000
11.470,3750.000
11.470,3825.000
11.470,3750.000
11.345,3750.000
11.220,3750.000
11.095,3825.000
11.032,3750.000
10.907,3825.000
10.907,3750.000
10.845,3825.000
10.782,3900.000
10.720,3750.000
10.720,1125.000
18.470,2625.000
15.345,3600.000
13.970,3750.000
13.345,3675.000
13.095,3750.000
12.970,3750.000
13.470,3750.000
13.595,3825.000
13.032,3750.000
12.595,3825.000
12.345,3750.000
12.157,3825.000
12.032,3762.295
12.095,3900.000
12.095,3675.000
11.907,3762.295
11.720,3774.194
11.595,3825.000
11.532,3825.000
11.407,3825.000
11.407,3825.000
11.345,3825.000
11.282,3525.000
16.032,3600.000
14.157,3675.000
13.345,3750.000
13.032,3750.000
12.845,3750.000
12.907,3750.000
13.470,3750.000
13.032,3825.000
12.532,3750.000
12.220,3825.000
12.032,3750.000
11.907,3825.000
11.907,3825.000
