EWT,Watts
19.032,2901.800
13.907,2757.700
14.032,2757.700
16.970,2918.300
14.095,2759.900
14.095,2763.200
15.595,2835.800
17.282,2905.100
14.845,2766.500
14.532,2746.700
16.157,2840.200
15.845,2803.900
16.470,2887.500
17.095,2899.600
18.220,2963.400
18.157,2962.300
18.595,2972.200
18.595,2975.500
18.782,2983.200
18.782,2986.500
14.282,2757.700
15.782,2844.600
16.032,2852.300
16.032,2860.000
14.407,2743.400
16.720,2865.500
16.782,2861.100
17.220,2893.000
17.532,2915.000
17.907,2935.900
18.595,2971.100
18.657,2970.000
16.657,2884.200
14.845,2768.700
14.845,2773.100
14.845,2802.800
16.595,2861.100
16.407,2856.700
14.345,2770.900
17.032,2875.400
17.157,2928.200
14.345,2784.100
14.407,2761.000
16.345,2896.300
17.720,2941.400
16.345,2851.200
15.657,2861.100
14.782,2800.600
15.782,2835.800
15.907,2861.100
17.220,2905.100
18.345,2977.700
14.157,2761.000
14.157,2765.400
16.407,2863.300
14.407,2780.800
14.345,2773.100
15.595,2829.200
14.282,2754.400
14.345,2762.100
14.345,2769.800
16.782,2861.100
16.407,2852.300
16.220,2856.700
16.220,2862.200
18.595,2953.500
18.345,2950.200
18.532,2955.700
16.970,2885.300
16.907,2873.200
15.157,2808.300
16.282,2847.900
16.845,2882.000
15.907,2841.300
17.345,2907.300
16.720,2868.800
15.032,2800.600
17.470,2915.000
18.032,2937.000
18.282,2953.500
17.345,2917.200
17.595,2910.600
15.157,2792.900
15.220,2810.500
18.220,2946.900
20.470,2236.300
15.657,2851.200
18.282,2967.800
18.782,2978.800
15.782,2835.800
14.845,2770.900
14.282,2769.800
14.720,2778.600
15.157,2799.500
17.095,2886.400
17.345,2872.100
14.407,2750.000
14.532,2756.600
15.657,2821.500
16.907,2869.900
16.470,2882.000
16.345,2873.200
15.845,2813.800
15.407,2791.800
14.845,2798.400
17.032,2856.700
14.720,2781.900
16.595,2843.500
16.720,2873.200
16.782,2852.300
17.532,2887.500
17.470,2893.000
17.845,2938.100
19.095,2994.200
19.220,2994.200
16.282,2841.300
15.157,2795.100
17.220,2902.900
17.720,2904.000
16.470,2851.200
14.782,2768.700
17.157,2879.800
17.157,2897.400
17.595,2912.800
15.220,2810.500
14.970,2784.100
17.095,2894.100
17.845,2927.100
14.657,2783.000
14.595,2797.300
19.970,2901.800
16.657,2899.600
15.157,2805.000
17.220,2905.100
18.032,2955.700
18.345,2952.400
18.720,2971.100
19.095,2986.500
18.907,2983.200
